nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0348747	Eric Gurry	1966	\N	actor,archive_footage	tt0085210,tt0092216,tt0075471,tt0090376
nm13143312	Luis Seebahn	\N	\N	editor	tt0289804
nm3204247	Scott Lombardi	\N	\N	\N	tt0103569
nm3419813	Robyn Barker	\N	\N	miscellaneous,costume_department	tt0283738,tt5241830,tt0239195,tt3401144
nm4354788	Colin Cowlum	\N	\N	actor	tt1855138
nm12233460	Larisa Sokolson	\N	\N	miscellaneous	tt13846030
nm13732240	Jennifer	\N	\N	\N	tt0369081
nm9066795	Sophia Abella	\N	\N	actress	tt4159074
nm1379212	Tarik Bakir	\N	\N	\N	tt0324891,tt0324699,tt0401052,tt0320961
nm11836119	Lena Kopf Pedersen	\N	\N	\N	tt7263308
nm9529458	Deschen Adiguna	\N	\N	art_department	tt7805964
nm1161675	Helen Newman	\N	\N	miscellaneous	tt0229528
nm16465294	Raphaël Berlucci	\N	\N	camera_department	tt33257725
nm4088365	Shahzad Yunas	\N	\N	editor,camera_department,director	tt2802894,tt1756525,tt1763243,tt3797674
nm1822969	Vilija Mataciunaite	\N	\N	actress	tt21340032,tt13576384,tt13637790,tt30588758
nm2558041	Helen Dent	\N	\N	\N	tt0398450
nm12614486	Oliwia Cubala	\N	\N	actress	tt12877334
nm11978794	Manu Gopinath	\N	\N	composer	tt13269788
nm4095181	Joey Marzelli	\N	\N	miscellaneous	tt1815979,tt1244646
nm13844427	Josefina Aguirre	\N	\N	\N	tt0372640
nm14028690	Zachary Wade	\N	\N	actor	tt29922634,tt13564680
nm2364777	Ele Bardha	\N	\N	stunts,actor,camera_department	tt2975590,tt3890160,tt3371366,tt1431045
nm3714211	Dan Holland	\N	\N	director,cinematographer	tt1557635
nm10164344	Johnny Martin	\N	\N	actor	tt9071522
nm5082663	Noriko Nihei	\N	\N	animation_department	tt2183348,tt2212986
nm9097422	G. Handy	\N	\N	camera_department	tt7077558
nm9154230	Roberto Carotenuto	\N	\N	camera_department	tt7172394,tt7308070
nm11071210	Mia Maria Santala	\N	\N	art_department,camera_department	tt11155358,tt10492656
nm10891028	Sara Nasarre	\N	\N	miscellaneous	tt10619688
nm2527764	Magdalene Jacobson	\N	\N	animation_department	tt0088748
nm10205038	Alberto Garcia	\N	\N	camera_department	tt9160240
nm12557869	Kyle Wilson	\N	\N	editorial_department,sound_department	tt16409600,tt14604784
nm12696891	Laura Crazy	\N	\N	\N	tt4363176
nm14101272	Dennie Rogers	\N	\N	\N	tt22464264
nm15659073	Hazel Wakefield	\N	\N	costume_department	tt1514043
nm10109160	Maged Nader	\N	\N	cinematographer	tt8973144
nm2313284	Heidi Easton	\N	\N	miscellaneous	tt0094430,tt0075472,tt0081831,tt0088512
nm7589269	Loredana Perianu	\N	\N	editor,actress	tt7439516,tt6713836
nm13955905	Vladimir Aboimov	\N	\N	camera_department	tt21828634
nm6815789	Cody Kashimoto	\N	\N	actor	tt3278950
nm10022301	Mark Mesteth	\N	\N	\N	tt4515676
nm12814199	Shimoga Paramesh	\N	\N	actor,producer	tt15164538
nm5488072	Kyle McLaughlin	\N	\N	actor	tt10162544
nm16518138	Joey	\N	\N	actor	tt33343111
nm14479581	Gowra Hari	\N	\N	composer	tt30858568,tt21935486,tt26654506,tt28539778
nm7262417	Callie Biggerstaff	\N	\N	camera_department,miscellaneous	tt6028622,tt6393788,tt15831104,tt4604154
nm6320771	Gillian Greenberg	\N	\N	art_director,set_decorator	tt3529990,tt3622998,tt3919922
nm0622471	Don Nau	\N	\N	actor	tt15290538,tt0209779,tt0113100
nm4727919	Emily Hall	\N	\N	make_up_department,actor	tt3097996,tt2087925,tt0241383
nm10703648	Mary Ann Dunham	\N	\N	\N	\N
nm10544003	Mathilde L. Amming	\N	\N	actor	tt5180734
nm16044498	James Solis Gutierrez	\N	\N	\N	\N
nm4066956	James Simpson	\N	\N	editorial_department	tt0121961
nm4783687	Odysseus Gagan	\N	\N	\N	\N
nm12269329	Arhimandrit Tihon Rakicevic	\N	\N	\N	\N
nm16373795	Rosemarie Husband	\N	\N	\N	tt27795526
nm12065459	Al Adriano	\N	\N	actor	tt0334924
nm3364871	George Wilding	\N	\N	\N	\N
nm14118575	Rodrigo Lopez	\N	\N	actor	tt22532640
nm8925705	Matthew Weiss	\N	\N	actor	tt6743800
nm3708259	Katri Sahlman	\N	\N	\N	\N
nm11949692	Crismely Hernandez	\N	\N	\N	\N
nm10681464	Carolyn Heft-Levinbook	\N	\N	archive_footage	tt1191056
nm0239438	Julien Dubois	\N	\N	actor,director,writer	tt0078771,tt28350805,tt0102368,tt0079109
nm7761960	Dolly Kramer	1904	1995	actress	\N
nm5116833	Kameron Slade	\N	\N	archive_footage	\N
nm10766453	Annanya George	\N	\N	actor,director,cinematographer	tt10494790,tt11026884,tt14469826,tt27465563
nm2816736	Dennis Farrell	1987	\N	actor,stunts,miscellaneous	tt1298650,tt0972848,tt1103262,tt1037178
nm13139633	Chad Hix	\N	\N	art_department	tt13608086
nm5346637	Robert Plumlee	\N	\N	archive_footage	tt31149460
nm14517389	Cyrille Amoursky	\N	\N	\N	tt6052530
nm3055298	Martyn Phelps	\N	\N	transportation_department	tt0373889,tt0926084
nm8397406	Toshimitsu Kashima	\N	\N	animation_department	tt1840372,tt1226251,tt1190545,tt6162158
nm8549064	Phillip Wilcox	\N	\N	\N	\N
nm8593779	Jolanta Da Prato	\N	\N	miscellaneous,actress	tt3836666
nm0032379	Todd Appleby	\N	\N	art_department	tt0116293
nm14614250	Sean Arl Reyes	\N	\N	\N	tt21363166
nm6124092	Thomas Biering	\N	\N	visual_effects	tt3748528,tt10545296,tt11116912,tt2527336
nm8651673	Joaquim Miranda	\N	\N	\N	\N
nm14854096	Jim Pettinger	\N	\N	\N	\N
nm5583548	Ervi Kotri	\N	\N	actor	tt2784366
nm2406391	John O'Conner	\N	\N	sound_department	tt6945708,tt1936696,tt0133302,tt0083452
nm1931530	Anderson Jones	1968	2007	\N	tt0447774,tt0463399,tt1518811,tt1124474
nm12271048	Nathan Scott Sindelar	\N	\N	sound_department	tt10343124
nm8852555	Brian Murphy	\N	\N	actor	tt6655570
nm0071354	Rita Benjamin	\N	\N	actress	\N
nm5258923	Liana Babluani	\N	\N	actress	tt0475169,tt2382214
nm4423713	Sal Russo	\N	\N	\N	tt6852056,tt1240986,tt1084172,tt1899098
nm0555247	Miguel Martínez	\N	\N	writer,director	tt0204366
nm0122517	Stacy Burnham	\N	\N	actress,producer	tt0372283,tt0274024,tt0167720,tt0250493
nm15299354	George Bardot	\N	\N	\N	\N
nm14914355	Robin de Meijer	\N	\N	editor	tt27927971
nm8277393	Max Muir	\N	\N	actor	tt4976512
nm15026286	StarTopus	\N	\N	actor	tt13423672
