tconst	parentTconst	seasonNumber	episodeNumber
tt17155998	tt13619070	5	2
tt17156146	tt16603592	1	1
tt1716824	tt1711559	1	2
tt17174910	tt7826376	2	6
tt1718253	tt1569544	2	3
tt1718311	tt1677628	1	7
tt1723553	tt0361246	\N	\N
tt17276746	tt0434733	1	5920
tt1728890	tt0044265	1	14575
tt17319052	tt0484535	1	6997
tt17336840	tt0048907	7	20
tt1733748	tt1219862	3	8
tt1734288	tt0318220	\N	\N
tt17348802	tt0498978	\N	\N
tt1736080	tt1695352	1	20
tt1737366	tt1658997	1	18
tt1738187	tt0050030	4	30
tt1744508	tt1735367	1	16
tt1749531	tt0088512	1	4098
tt17516146	tt17013904	1	1410
tt17525950	tt11905274	9	8
tt17539304	tt10196152	2	278
tt17646708	tt17519458	1	3
tt17663448	tt2113273	1	1005
tt1768404	tt0260612	2	11
tt17686596	tt10287466	5	25
tt17791378	tt17545626	1	128
tt1780011	tt1649894	\N	\N
tt1784261	tt0096537	\N	\N
tt17890446	tt8198328	1	6
tt1789563	tt1480165	1	335
